long_common_name_query_terms_count_diff,long_common_name_similarity_diff,component_query_terms_count_diff,component_similarity_diff,system_query_terms_count_diff,system_similarity_diff,property_query_terms_count_diff,property_similarity_diff,label
-1,-0.32560145341162566,-2,-0.3066452963831141,0,0.0,0,0.0,1
1,0.32560145341162566,2,0.3066452963831141,0,0.0,0,0.0,-1
-1,-0.2757894813325269,-2,-0.2227738719520625,0,0.0,0,0.0,1
1,0.2757894813325269,2,0.2227738719520625,0,0.0,0,0.0,-1
0,-0.14866513727786018,-2,-0.4568882711529906,1,0.1801410360588515,0,0.0,1
0,0.14866513727786018,2,0.4568882711529906,-1,-0.1801410360588515,0,0.0,-1
0,-0.1423405244310964,-2,-0.4568882711529906,1,0.1801410360588515,0,0.0,1
0,0.1423405244310964,2,0.4568882711529906,-1,-0.1801410360588515,0,0.0,-1
0,-0.014114474320994497,-1,0.0,0,-0.07685320759550307,0,0.0,1
0,0.014114474320994497,1,0.0,0,0.07685320759550307,0,0.0,-1
-1,-0.437614274186388,-1,-0.3066452963831141,0,0.0,0,0.0,1
1,0.437614274186388,1,0.3066452963831141,0,0.0,0,0.0,-1
-1,-0.3878023021072892,-1,-0.2227738719520625,0,0.0,0,0.0,1
1,0.3878023021072892,1,0.2227738719520625,0,0.0,0,0.0,-1
0,-0.2606779580526225,-1,-0.4568882711529906,1,0.1801410360588515,0,0.0,1
0,0.2606779580526225,1,0.4568882711529906,-1,-0.1801410360588515,0,0.0,-1
0,-0.2543533452058587,-1,-0.4568882711529906,1,0.1801410360588515,0,0.0,1
0,0.2543533452058587,1,0.4568882711529906,-1,-0.1801410360588515,0,0.0,-1
0,-0.12612729509575682,0,0.0,0,-0.07685320759550307,0,0.0,1
0,0.12612729509575682,0,0.0,0,0.07685320759550307,0,0.0,-1
0,-0.11197190653991361,1,0.0,0,0.0,0,0.0,1
0,0.11197190653991361,-1,0.0,0,0.0,0,0.0,-1
0,-0.10197432947784342,0,0.0,0,0.0,0,0.0,1
0,0.10197432947784342,0,0.0,0,0.0,0,0.0,-1
0,-0.1005984305918541,0,-0.3345203436103139,0,0.0,0,0.0,1
0,0.1005984305918541,0,0.3345203436103139,0,0.0,0,0.0,-1
0,-0.0981263242127536,1,0.0,0,0.05684201816934702,0,0.0,1
0,0.0981263242127536,-1,0.0,0,-0.05684201816934702,0,0.0,-1
0,-0.0950575393753829,1,0.0,0,0.0,0,0.0,1
0,0.0950575393753829,-1,0.0,0,0.0,0,0.0,-1
0,-0.0921183863876014,1,0.0,0,0.0,0,0.0,1
0,0.0921183863876014,-1,0.0,0,0.0,0,0.0,-1
0,-0.0856729322321191,1,0.0,0,0.0,0,0.0,1
0,0.0856729322321191,-1,0.0,0,0.0,0,0.0,-1
0,-0.0678092358867383,0,0.0,0,-0.07685320759550307,0,0.0,1
0,0.0678092358867383,0,0.0,0,0.07685320759550307,0,0.0,-1
0,-0.0658679472498876,1,0.0,0,0.0,0,0.0,1
0,0.0658679472498876,-1,0.0,0,0.0,0,0.0,-1
0,-0.06253600982931891,0,0.0,0,0.0,0,0.0,1
0,0.06253600982931891,0,0.0,0,0.0,0,0.0,-1
0,-0.061187069134057206,0,0.0,0,0.0,0,0.0,1
0,0.061187069134057206,0,0.0,0,0.0,0,0.0,-1
0,-0.048608747956739404,0,0.0,0,0.0,0,0.0,1
0,0.048608747956739404,0,0.0,0,0.0,0,0.0,-1
0,-0.047766631028268516,1,0.0,0,0.0,0,0.0,1
0,0.047766631028268516,-1,0.0,0,0.0,0,0.0,-1
0,-0.042626939023474295,1,0.0,0,0.0,0,0.0,1
0,0.042626939023474295,-1,0.0,0,0.0,0,0.0,-1
0,-0.04089722518929671,1,0.0,0,0.0,0,0.0,1
0,0.04089722518929671,-1,0.0,0,0.0,0,0.0,-1
0,-0.03431432037927891,0,0.0,0,0.0,0,0.0,1
0,0.03431432037927891,0,0.0,0,0.0,0,0.0,-1
0,-0.03155050938547942,0,0.0,0,0.0,0,0.0,1
0,0.03155050938547942,0,0.0,0,0.0,0,0.0,-1
0,-0.031550509385479306,0,0.0,0,0.0,0,0.0,1
0,0.031550509385479306,0,0.0,0,0.0,0,0.0,-1
0,-0.02910503691265741,0,0.0,0,0.0,0,0.0,1
0,0.02910503691265741,0,0.0,0,0.0,0,0.0,-1
0,-0.026436826793996518,0,0.0,0,0.0,0,0.0,1
0,0.026436826793996518,0,0.0,0,0.0,0,0.0,-1
0,-0.024006451266229314,1,0.0,0,0.0,0,0.0,1
0,0.024006451266229314,-1,0.0,0,0.0,0,0.0,-1
0,-0.021382090488158798,0,0.0,0,0.0,0,0.0,1
0,0.021382090488158798,0,0.0,0,0.0,0,0.0,-1
-2,-0.5456827090360458,-1,-0.3066452963831141,-1,-0.1801410360588515,0,0.0,1
2,0.5456827090360458,1,0.3066452963831141,1,0.1801410360588515,0,0.0,-1
-2,-0.495870736956947,-1,-0.2227738719520625,-1,-0.1801410360588515,0,0.0,1
2,0.495870736956947,1,0.2227738719520625,1,0.1801410360588515,0,0.0,-1
-1,-0.3687463929022803,-1,-0.4568882711529906,0,0.0,0,0.0,1
1,0.3687463929022803,1,0.4568882711529906,0,0.0,0,0.0,-1
-1,-0.3624217800555165,-1,-0.4568882711529906,0,0.0,0,0.0,1
1,0.3624217800555165,1,0.4568882711529906,0,0.0,0,0.0,-1
-1,-0.2341957299454146,0,0.0,-1,-0.2569942436543546,0,0.0,1
1,0.2341957299454146,0,0.0,1,0.2569942436543546,0,0.0,-1
-1,-0.2200403413895714,1,0.0,-1,-0.1801410360588515,0,0.0,1
1,0.2200403413895714,-1,0.0,1,0.1801410360588515,0,0.0,-1
-1,-0.2100427643275012,0,0.0,-1,-0.1801410360588515,0,0.0,1
1,0.2100427643275012,0,0.0,1,0.1801410360588515,0,0.0,-1
-1,-0.2086668654415119,0,-0.3345203436103139,-1,-0.1801410360588515,0,0.0,1
1,0.2086668654415119,0,0.3345203436103139,1,0.1801410360588515,0,0.0,-1
-1,-0.2061947590624114,1,0.0,-1,-0.1232990178895045,0,0.0,1
1,0.2061947590624114,-1,0.0,1,0.1232990178895045,0,0.0,-1
